Age,Gender,Education_Level,Job_Title,Years_of_Experience,Salary,Gender_Female,Gender_Male,Gender_Other,Education_Level_encode,Job_Title_encode
29.0,Female,Bachelor,Graphic Designer,3.0,50000.0,1.0,0.0,0.0,2.0,49772.72727272727
36.0,Male,Bachelor,Sales Manager,9.0,95000.0,0.0,1.0,0.0,2.0,102946.42857142857
27.0,Female,Master,UX Researcher,2.0,65000.0,1.0,0.0,0.0,3.0,65000.0
43.0,Male,PhD,Senior Engineer,17.0,140000.0,0.0,1.0,0.0,4.0,127500.0
30.0,Female,Bachelor,Social Media Manager,4.0,55000.0,1.0,0.0,0.0,2.0,55000.0
35.0,Male,Master,Product Manager,7.0,105000.0,0.0,1.0,0.0,3.0,142476.03833865814
51.0,Female,Master,Director of Operations,23.0,170000.0,1.0,0.0,0.0,3.0,172727.27272727274
29.0,Male,Bachelor,Marketing Analyst,3.0,50000.0,0.0,1.0,0.0,2.0,62916.666666666664
40.0,Female,Bachelor,HR Manager,12.0,80000.0,1.0,0.0,0.0,2.0,110000.0
47.0,Male,PhD,Senior Data Scientist,21.0,180000.0,0.0,1.0,0.0,4.0,151147.54098360657
26.0,Male,Bachelor,Junior Accountant,1.0,35000.0,0.0,1.0,0.0,2.0,41666.666666666664
38.0,Female,Master,Digital Marketing Manager,10.0,90000.0,1.0,0.0,0.0,3.0,93269.23076923077
46.0,Male,Bachelor,IT Manager,19.0,120000.0,0.0,1.0,0.0,2.0,120000.0
31.0,Female,Bachelor,Customer Service Representative,5.0,45000.0,1.0,0.0,0.0,2.0,33333.333333333336
34.0,Male,Master,Business Development Manager,8.0,90000.0,0.0,1.0,0.0,3.0,90000.0
49.0,Female,Master,Senior Financial Analyst,18.0,150000.0,1.0,0.0,0.0,3.0,112857.14285714286
33.0,Male,Bachelor,Web Developer,6.0,65000.0,0.0,1.0,0.0,2.0,66436.7816091954
39.0,Female,Bachelor,Recruiter,11.0,70000.0,1.0,0.0,0.0,2.0,65000.0
45.0,Male,PhD,Research Director,16.0,190000.0,0.0,1.0,0.0,4.0,163333.33333333334
28.0,Male,Bachelor,Technical Support Specialist,2.0,40000.0,0.0,1.0,0.0,2.0,40000.0
42.0,Female,Master,Creative Director,14.0,120000.0,1.0,0.0,0.0,3.0,120000.0
37.0,Male,Bachelor,Project Manager,10.0,95000.0,0.0,1.0,0.0,2.0,119090.90909090909
50.0,Female,Bachelor,Operations Manager,22.0,160000.0,1.0,0.0,0.0,2.0,95938.59649122808
32.0,Male,Master,Senior Software Engineer,6.0,100000.0,0.0,1.0,0.0,3.0,151326.68852459016
48.0,Female,Master,Human Resources Director,20.0,180000.0,1.0,0.0,0.0,3.0,180000.0
30.0,Female,Bachelor,Content Marketing Manager,3.0,55000.0,1.0,0.0,0.0,2.0,123150.68493150685
36.0,Male,Bachelor,Technical Recruiter,8.0,70000.0,0.0,1.0,0.0,2.0,70000.0
41.0,Female,Master,Data Analyst,13.0,80000.0,1.0,0.0,0.0,3.0,125090.90909090909
25.0,Male,Bachelor,Sales Representative,0.0,30000.0,0.0,1.0,0.0,2.0,44078.94736842105
52.0,Male,PhD,Chief Technology Officer,24.0,250000.0,0.0,1.0,0.0,4.0,250000.0
29.0,Female,Bachelor,Junior Designer,2.0,40000.0,1.0,0.0,0.0,2.0,40000.0
34.0,Female,Master,Financial Advisor,10.0,95000.0,1.0,0.0,0.0,3.0,95000.0
27.0,Male,Bachelor,Junior Account Manager,2.0,45000.0,0.0,1.0,0.0,2.0,50000.0
40.0,Female,Bachelor,HR Generalist,15.0,80000.0,1.0,0.0,0.0,2.0,70000.0
46.0,Male,Master,Senior Project Manager,21.0,135000.0,0.0,1.0,0.0,3.0,129285.71428571429
31.0,Female,Bachelor,Marketing Coordinator,6.0,55000.0,1.0,0.0,0.0,2.0,81056.96202531646
36.0,Male,PhD,Principal Scientist,11.0,120000.0,0.0,1.0,0.0,4.0,120000.0
29.0,Female,Bachelor,Sales Associate,3.0,40000.0,1.0,0.0,0.0,2.0,35857.142857142855
43.0,Male,Bachelor,Supply Chain Manager,18.0,105000.0,0.0,1.0,0.0,2.0,105000.0
52.0,Female,Master,Senior Marketing Manager,25.0,170000.0,1.0,0.0,0.0,3.0,127222.22222222222
33.0,Male,Bachelor,Business Analyst,7.0,75000.0,0.0,1.0,0.0,2.0,77500.0
39.0,Female,Bachelor,Training Specialist,12.0,65000.0,1.0,0.0,0.0,2.0,65000.0
47.0,Male,PhD,Research Scientist,22.0,160000.0,0.0,1.0,0.0,4.0,165362.3188405797
26.0,Male,Bachelor,Junior Software Developer,1.0,35000.0,0.0,1.0,0.0,2.0,35810.34482758621
38.0,Female,Master,Public Relations Manager,10.0,90000.0,1.0,0.0,0.0,3.0,90000.0
45.0,Male,Bachelor,Operations Analyst,20.0,110000.0,0.0,1.0,0.0,2.0,110000.0
31.0,Female,Bachelor,Event Coordinator,5.0,45000.0,1.0,0.0,0.0,2.0,52500.0
35.0,Male,Master,Product Marketing Manager,8.0,95000.0,0.0,1.0,0.0,3.0,95000.0
49.0,Female,Master,Senior HR Manager,19.0,150000.0,1.0,0.0,0.0,3.0,150000.0
33.0,Male,Bachelor,Junior Web Developer,5.0,50000.0,0.0,1.0,0.0,2.0,45761.90476190476
39.0,Female,Master,Senior Project Coordinator,13.0,80000.0,1.0,0.0,0.0,3.0,92000.0
44.0,Male,PhD,Chief Data Officer,16.0,220000.0,0.0,1.0,0.0,4.0,220000.0
30.0,Female,Bachelor,Digital Content Producer,3.0,50000.0,1.0,0.0,0.0,2.0,50000.0
36.0,Male,Bachelor,IT Support Specialist,7.0,60000.0,0.0,1.0,0.0,2.0,60000.0
41.0,Female,Master,Senior Marketing Analyst,14.0,100000.0,1.0,0.0,0.0,3.0,89444.44444444444
28.0,Male,Bachelor,Customer Success Manager,2.0,40000.0,0.0,1.0,0.0,2.0,40000.0
42.0,Female,Master,Senior Graphic Designer,15.0,110000.0,1.0,0.0,0.0,3.0,110000.0
37.0,Male,Bachelor,Software Project Manager,9.0,95000.0,0.0,1.0,0.0,2.0,95000.0
50.0,Female,Bachelor,Supply Chain Analyst,22.0,130000.0,1.0,0.0,0.0,2.0,130000.0
32.0,Male,Master,Senior Business Analyst,6.0,90000.0,0.0,1.0,0.0,3.0,116000.0
23.0,Female,Bachelor,Junior Marketing Analyst,0.5,35000.0,1.0,0.0,0.0,2.0,48333.333333333336
31.0,Male,Master,Senior Financial Analyst,6.0,95000.0,0.0,1.0,0.0,3.0,112857.14285714286
40.0,Female,Bachelor,Office Manager,15.0,65000.0,1.0,0.0,0.0,2.0,65000.0
48.0,Male,PhD,Principal Engineer,20.0,170000.0,0.0,1.0,0.0,4.0,170000.0
29.0,Female,Bachelor,Junior HR Generalist,3.0,45000.0,1.0,0.0,0.0,2.0,38250.0
35.0,Male,Master,Senior Product Manager,10.0,120000.0,0.0,1.0,0.0,3.0,121666.66666666667
42.0,Female,Bachelor,Sales Manager,17.0,100000.0,1.0,0.0,0.0,2.0,102946.42857142857
53.0,Male,Master,Director of Marketing,25.0,180000.0,0.0,1.0,0.0,3.0,137840.9090909091
33.0,Female,Bachelor,Junior Operations Analyst,5.0,50000.0,1.0,0.0,0.0,2.0,51000.0
38.0,Male,Bachelor,Customer Service Manager,11.0,80000.0,0.0,1.0,0.0,2.0,105000.0
44.0,Female,PhD,Senior Scientist,16.0,140000.0,1.0,0.0,0.0,4.0,123333.33333333333
26.0,Male,Bachelor,Junior Accountant,2.0,40000.0,0.0,1.0,0.0,2.0,41666.666666666664
37.0,Female,Master,Senior HR Generalist,9.0,95000.0,1.0,0.0,0.0,3.0,90904.76190476191
45.0,Male,Bachelor,Sales Operations Manager,18.0,110000.0,0.0,1.0,0.0,2.0,110000.0
32.0,Female,Bachelor,Marketing Coordinator,4.0,50000.0,1.0,0.0,0.0,2.0,81056.96202531646
34.0,Male,Master,Senior Software Developer,8.0,105000.0,0.0,1.0,0.0,3.0,118333.33333333333
50.0,Female,Master,Director of Operations,21.0,160000.0,1.0,0.0,0.0,3.0,172727.27272727274
29.0,Male,Bachelor,Junior Web Designer,3.0,45000.0,0.0,1.0,0.0,2.0,45000.0
40.0,Female,Master,Senior Training Specialist,12.0,100000.0,1.0,0.0,0.0,3.0,100000.0
47.0,Male,PhD,Senior Research Scientist,22.0,160000.0,0.0,1.0,0.0,4.0,137959.18367346938
27.0,Male,Bachelor,Junior Sales Representative,1.0,35000.0,0.0,1.0,0.0,2.0,36951.21951219512
39.0,Female,Bachelor,Administrative Assistant,10.0,55000.0,1.0,0.0,0.0,2.0,50000.0
46.0,Male,Master,Senior Project Manager,19.0,140000.0,0.0,1.0,0.0,3.0,129285.71428571429
30.0,Female,Bachelor,Junior Marketing Manager,4.0,50000.0,1.0,0.0,0.0,2.0,63294.117647058825
36.0,Male,Bachelor,Junior Data Analyst,7.0,60000.0,0.0,1.0,0.0,2.0,51360.0
43.0,Female,Master,Senior Product Marketing Manager,14.0,120000.0,1.0,0.0,0.0,3.0,126594.20289855072
28.0,Male,Bachelor,Junior Business Analyst,2.0,40000.0,0.0,1.0,0.0,2.0,50000.0
41.0,Female,Master,Senior Marketing Manager,13.0,110000.0,1.0,0.0,0.0,3.0,127222.22222222222
33.0,Male,Bachelor,Junior Software Developer,5.0,50000.0,0.0,1.0,0.0,2.0,35810.34482758621
47.0,Male,Bachelor,Senior Sales Manager,20.0,135000.0,0.0,1.0,0.0,2.0,132500.0
25.0,Female,Master,Junior Marketing Specialist,1.5,40000.0,1.0,0.0,0.0,3.0,53000.0
34.0,Male,Bachelor,Senior Business Analyst,8.0,90000.0,0.0,1.0,0.0,2.0,116000.0
42.0,Female,PhD,Senior Data Scientist,16.0,150000.0,1.0,0.0,0.0,4.0,151147.54098360657
31.0,Male,Bachelor,Junior Project Manager,4.0,60000.0,0.0,1.0,0.0,2.0,47000.0
38.0,Female,Bachelor,Senior Accountant,10.0,80000.0,1.0,0.0,0.0,2.0,85000.0
45.0,Male,Master,Director of Sales,19.0,175000.0,0.0,1.0,0.0,3.0,175000.0
29.0,Female,Bachelor,Junior Recruiter,3.0,45000.0,1.0,0.0,0.0,2.0,45000.0
36.0,Male,Master,Senior Business Development Manager,11.0,120000.0,0.0,1.0,0.0,3.0,110000.0
43.0,Female,PhD,Senior Product Designer,18.0,140000.0,1.0,0.0,0.0,4.0,148000.0
26.0,Male,Bachelor,Junior Customer Support Specialist,2.0,35000.0,0.0,1.0,0.0,2.0,35000.0
37.0,Female,Master,Senior Marketing Analyst,9.0,95000.0,1.0,0.0,0.0,3.0,89444.44444444444
44.0,Male,Bachelor,Senior IT Support Specialist,14.0,110000.0,0.0,1.0,0.0,2.0,110000.0
32.0,Female,Bachelor,Junior Financial Analyst,5.0,50000.0,1.0,0.0,0.0,2.0,52857.142857142855
33.0,Male,Master,Senior Operations Manager,7.0,115000.0,0.0,1.0,0.0,3.0,108000.0
51.0,Female,PhD,Director of Human Resources,23.0,185000.0,1.0,0.0,0.0,4.0,187500.0
28.0,Male,Bachelor,Junior Software Engineer,2.0,40000.0,0.0,1.0,0.0,2.0,50372.549019607846
39.0,Female,Bachelor,Senior Sales Representative,12.0,90000.0,1.0,0.0,0.0,2.0,95000.0
48.0,Male,Master,Director of Product Management,21.0,175000.0,0.0,1.0,0.0,3.0,175000.0
30.0,Female,Bachelor,Junior Copywriter,3.0,45000.0,1.0,0.0,0.0,2.0,45000.0
35.0,Male,Bachelor,Senior Marketing Coordinator,7.0,80000.0,0.0,1.0,0.0,2.0,93333.33333333333
41.0,Female,Master,Senior Human Resources Manager,13.0,120000.0,1.0,0.0,0.0,3.0,109583.33333333333
27.0,Male,Bachelor,Junior Business Development Associate,1.5,35000.0,0.0,1.0,0.0,2.0,40714.28571428572
40.0,Female,Bachelor,Senior Account Manager,14.0,110000.0,1.0,0.0,0.0,2.0,110000.0
46.0,Male,PhD,Senior Researcher,18.0,150000.0,0.0,1.0,0.0,4.0,150000.0
31.0,Female,Bachelor,Junior HR Coordinator,4.0,50000.0,1.0,0.0,0.0,2.0,38321.42857142857
34.0,Male,Master,Senior Software Engineer,9.0,105000.0,0.0,1.0,0.0,3.0,151326.68852459016
50.0,Female,Master,Director of Finance,20.0,180000.0,1.0,0.0,0.0,3.0,175000.0
29.0,Male,Bachelor,Junior Marketing Coordinator,2.0,40000.0,0.0,1.0,0.0,2.0,46666.666666666664
43.0,Male,Bachelor,Senior Project Manager,16.0,140000.0,0.0,1.0,0.0,2.0,129285.71428571429
26.0,Female,Master,Junior Data Scientist,1.5,45000.0,1.0,0.0,0.0,3.0,45000.0
35.0,Male,Bachelor,Senior Operations Analyst,7.0,85000.0,0.0,1.0,0.0,2.0,85000.0
42.0,Female,PhD,Senior Marketing Manager,18.0,140000.0,1.0,0.0,0.0,4.0,127222.22222222222
31.0,Male,Bachelor,Junior Accountant,4.0,50000.0,0.0,1.0,0.0,2.0,41666.666666666664
38.0,Female,Bachelor,Senior Human Resources Coordinator,10.0,80000.0,1.0,0.0,0.0,2.0,80000.0
46.0,Male,Master,Director of Operations,20.0,170000.0,0.0,1.0,0.0,3.0,172727.27272727274
29.0,Female,Bachelor,Junior Sales Representative,2.0,40000.0,1.0,0.0,0.0,2.0,36951.21951219512
37.0,Male,Master,Senior Business Analyst,9.0,105000.0,0.0,1.0,0.0,3.0,116000.0
44.0,Female,PhD,Senior UX Designer,15.0,145000.0,1.0,0.0,0.0,4.0,155000.0
27.0,Male,Bachelor,Junior Product Manager,2.0,40000.0,0.0,1.0,0.0,2.0,56250.0
36.0,Female,Bachelor,Senior Marketing Specialist,8.0,85000.0,1.0,0.0,0.0,2.0,98750.0
43.0,Male,Bachelor,Senior IT Project Manager,14.0,130000.0,0.0,1.0,0.0,2.0,130000.0
33.0,Female,Master,Senior Financial Analyst,6.0,95000.0,1.0,0.0,0.0,3.0,112857.14285714286
34.0,Male,Bachelor,Senior Quality Assurance Analyst,9.0,100000.0,0.0,1.0,0.0,2.0,100000.0
50.0,Female,PhD,Director of Sales and Marketing,22.0,180000.0,1.0,0.0,0.0,4.0,180000.0
28.0,Male,Bachelor,Junior Operations Analyst,1.5,35000.0,0.0,1.0,0.0,2.0,51000.0
39.0,Female,Bachelor,Senior Account Executive,12.0,95000.0,1.0,0.0,0.0,2.0,95000.0
47.0,Male,Master,Director of Business Development,19.0,170000.0,0.0,1.0,0.0,3.0,170000.0
30.0,Female,Bachelor,Junior Social Media Manager,3.0,45000.0,1.0,0.0,0.0,2.0,45000.0
34.0,Male,Bachelor,Senior Product Manager,7.0,95000.0,0.0,1.0,0.0,2.0,121666.66666666667
40.0,Female,Master,Senior Human Resources Specialist,13.0,120000.0,1.0,0.0,0.0,3.0,120000.0
28.0,Male,Bachelor,Junior Business Analyst,2.0,40000.0,0.0,1.0,0.0,2.0,50000.0
41.0,Female,Bachelor,Senior Marketing Coordinator,11.0,90000.0,1.0,0.0,0.0,2.0,93333.33333333333
45.0,Male,PhD,Senior Data Analyst,17.0,155000.0,0.0,1.0,0.0,4.0,155000.0
32.0,Female,Bachelor,Junior Account Manager,5.0,55000.0,1.0,0.0,0.0,2.0,50000.0
35.0,Male,Master,Senior Software Developer,9.0,110000.0,0.0,1.0,0.0,3.0,118333.33333333333
49.0,Female,Master,Director of Human Capital,21.0,180000.0,1.0,0.0,0.0,3.0,180000.0
30.0,Male,Bachelor,Junior Advertising Coordinator,3.0,45000.0,0.0,1.0,0.0,2.0,45000.0
44.0,Male,Bachelor,Senior Sales Manager,16.0,130000.0,0.0,1.0,0.0,2.0,132500.0
27.0,Female,Master,Junior UX Designer,1.5,45000.0,1.0,0.0,0.0,3.0,45000.0
36.0,Male,Bachelor,Senior Accountant,7.0,90000.0,0.0,1.0,0.0,2.0,85000.0
41.0,Female,PhD,Senior Marketing Director,17.0,160000.0,1.0,0.0,0.0,4.0,160000.0
31.0,Male,Bachelor,Junior HR Generalist,4.0,50000.0,0.0,1.0,0.0,2.0,38250.0
39.0,Female,Bachelor,Senior Operations Manager,10.0,120000.0,1.0,0.0,0.0,2.0,108000.0
47.0,Male,Master,Director of Finance,20.0,170000.0,0.0,1.0,0.0,3.0,175000.0
30.0,Female,Bachelor,Junior Marketing Coordinator,2.0,40000.0,1.0,0.0,0.0,2.0,46666.666666666664
38.0,Male,Master,Senior IT Consultant,9.0,110000.0,0.0,1.0,0.0,3.0,110000.0
45.0,Female,PhD,Senior Product Designer,15.0,150000.0,1.0,0.0,0.0,4.0,148000.0
28.0,Male,Bachelor,Junior Business Development Associate,2.0,40000.0,0.0,1.0,0.0,2.0,40714.28571428572
35.0,Female,Bachelor,Senior Marketing Analyst,8.0,85000.0,1.0,0.0,0.0,2.0,89444.44444444444
44.0,Male,Bachelor,Senior Software Engineer,14.0,130000.0,0.0,1.0,0.0,2.0,151326.68852459016
34.0,Female,Master,Senior Financial Advisor,6.0,100000.0,1.0,0.0,0.0,3.0,93333.33333333333
35.0,Male,Bachelor,Senior Project Coordinator,9.0,95000.0,0.0,1.0,0.0,2.0,92000.0
50.0,Female,PhD,Director of Operations,22.0,180000.0,1.0,0.0,0.0,4.0,172727.27272727274
29.0,Male,Bachelor,Junior Business Operations Analyst,1.5,35000.0,0.0,1.0,0.0,2.0,35000.0
40.0,Female,Bachelor,Senior Sales Representative,12.0,100000.0,1.0,0.0,0.0,2.0,95000.0
48.0,Male,Master,Director of Marketing,19.0,170000.0,0.0,1.0,0.0,3.0,137840.9090909091
31.0,Female,Bachelor,Junior Social Media Specialist,3.0,45000.0,1.0,0.0,0.0,2.0,45000.0
33.0,Male,Bachelor,Senior Product Development Manager,7.0,100000.0,0.0,1.0,0.0,2.0,100000.0
42.0,Female,Master,Senior Human Resources Manager,13.0,140000.0,1.0,0.0,0.0,3.0,109583.33333333333
28.0,Male,Bachelor,Junior Financial Analyst,2.0,40000.0,0.0,1.0,0.0,2.0,52857.142857142855
40.0,Female,Bachelor,Senior Marketing Manager,11.0,105000.0,1.0,0.0,0.0,2.0,127222.22222222222
46.0,Male,PhD,Senior Data Scientist,18.0,160000.0,0.0,1.0,0.0,4.0,151147.54098360657
33.0,Female,Bachelor,Junior Operations Manager,5.0,70000.0,1.0,0.0,0.0,2.0,55000.0
37.0,Male,Master,Senior Software Architect,9.0,120000.0,0.0,1.0,0.0,3.0,120000.0
51.0,Female,Master,Director of Human Resources,21.0,190000.0,1.0,0.0,0.0,3.0,187500.0
30.0,Male,Bachelor,Junior Marketing Specialist,3.0,45000.0,0.0,1.0,0.0,2.0,53000.0
43.0,Male,Bachelor,Senior Project Manager,15.0,120000.0,0.0,1.0,0.0,2.0,129285.71428571429
27.0,Female,Master,Junior Research Scientist,1.5,50000.0,1.0,0.0,0.0,3.0,50000.0
35.0,Male,Bachelor,Senior Operations Analyst,8.0,85000.0,0.0,1.0,0.0,2.0,85000.0
42.0,Female,PhD,Senior Marketing Manager,13.0,140000.0,1.0,0.0,0.0,4.0,127222.22222222222
32.0,Male,Bachelor,Junior Sales Representative,3.0,45000.0,0.0,1.0,0.0,2.0,36951.21951219512
37.0,Female,Bachelor,Senior Financial Analyst,9.0,100000.0,1.0,0.0,0.0,2.0,112857.14285714286
45.0,Male,Master,Senior Software Developer,16.0,140000.0,0.0,1.0,0.0,3.0,118333.33333333333
33.0,Female,Bachelor,Junior Operations Analyst,5.0,70000.0,1.0,0.0,0.0,2.0,51000.0
39.0,Male,Bachelor,Senior Marketing Specialist,10.0,120000.0,0.0,1.0,0.0,2.0,98750.0
44.0,Female,PhD,Senior HR Manager,18.0,160000.0,1.0,0.0,0.0,4.0,150000.0
29.0,Male,Bachelor,Junior Business Analyst,1.5,40000.0,0.0,1.0,0.0,2.0,50000.0
38.0,Female,Bachelor,Senior Product Manager,10.0,120000.0,1.0,0.0,0.0,2.0,121666.66666666667
46.0,Male,PhD,Senior Data Analyst,19.0,150000.0,0.0,1.0,0.0,4.0,155000.0
34.0,Female,Bachelor,Junior Marketing Analyst,6.0,70000.0,1.0,0.0,0.0,2.0,48333.333333333336
36.0,Male,Bachelor,Senior Operations Manager,8.0,95000.0,0.0,1.0,0.0,2.0,108000.0
49.0,Female,Master,Director of Marketing,21.0,180000.0,1.0,0.0,0.0,3.0,137840.9090909091
31.0,Male,Bachelor,Junior Financial Analyst,3.0,50000.0,0.0,1.0,0.0,2.0,52857.142857142855
41.0,Female,Bachelor,Senior Project Coordinator,11.0,95000.0,1.0,0.0,0.0,2.0,92000.0
47.0,Male,Master,Director of Operations,20.0,170000.0,0.0,1.0,0.0,3.0,172727.27272727274
30.0,Female,Bachelor,Junior Marketing Coordinator,2.0,40000.0,1.0,0.0,0.0,2.0,46666.666666666664
38.0,Male,Master,Senior IT Consultant,9.0,110000.0,0.0,1.0,0.0,3.0,110000.0
45.0,Female,PhD,Senior Product Designer,15.0,150000.0,1.0,0.0,0.0,4.0,148000.0
28.0,Male,Bachelor,Junior Business Development Associate,2.0,40000.0,0.0,1.0,0.0,2.0,40714.28571428572
35.0,Female,Bachelor,Senior Marketing Analyst,8.0,85000.0,1.0,0.0,0.0,2.0,89444.44444444444
44.0,Male,Bachelor,Senior Software Engineer,14.0,130000.0,0.0,1.0,0.0,2.0,151326.68852459016
34.0,Female,Master,Senior Financial Advisor,6.0,100000.0,1.0,0.0,0.0,3.0,93333.33333333333
35.0,Male,Bachelor,Senior Project Coordinator,9.0,95000.0,0.0,1.0,0.0,2.0,92000.0
50.0,Female,PhD,Director of Operations,22.0,180000.0,1.0,0.0,0.0,4.0,172727.27272727274
37.0,Female,Bachelor,Senior Financial Manager,10.0,120000.0,1.0,0.0,0.0,2.0,100000.0
46.0,Male,PhD,Senior Data Scientist,18.0,160000.0,0.0,1.0,0.0,4.0,151147.54098360657
31.0,Female,Bachelor,Junior Marketing Coordinator,3.0,50000.0,1.0,0.0,0.0,2.0,46666.666666666664
42.0,Male,Bachelor,Senior Operations Manager,12.0,110000.0,0.0,1.0,0.0,2.0,108000.0
29.0,Female,Bachelor,Junior Sales Representative,1.5,40000.0,1.0,0.0,0.0,2.0,36951.21951219512
36.0,Male,Bachelor,Senior Marketing Specialist,8.0,95000.0,0.0,1.0,0.0,2.0,98750.0
44.0,Female,Master,Senior HR Specialist,15.0,140000.0,1.0,0.0,0.0,3.0,140000.0
