user_ID,Age,Gender,Education Level,Job Title,Years of Experience,Salary
U0094,52.0,f,E03,J080,25.0,170000.0
U0095,33.0,m,E02,J021,7.0,75000.0
U0096,39.0,f,E02,J081,12.0,65000.0
U0097,47.0,m,E04,J082,22.0,160000.0
U0098,26.0,m,E02,J083,1.0,35000.0
U0099,38.0,f,E03,J084,10.0,90000.0
U0100,45.0,m,E02,J085,20.0,110000.0
U0101,31.0,f,E02,J051,5.0,45000.0
U0102,35.0,m,E03,J086,8.0,95000.0
U0103,49.0,f,E03,J087,19.0,150000.0
U0104,33.0,m,E02,J088,5.0,50000.0
U0105,39.0,f,E03,J089,13.0,80000.0
U0106,44.0,m,E04,J090,16.0,220000.0
U0107,30.0,f,E02,J091,3.0,50000.0
U0108,36.0,m,E02,J092,7.0,60000.0
U0109,41.0,f,E03,J093,14.0,100000.0
U0110,28.0,m,E02,J094,2.0,40000.0
U0111,42.0,f,E03,J095,15.0,110000.0
U0112,37.0,m,E02,J096,9.0,95000.0
U0113,50.0,f,E02,J097,22.0,130000.0
U0114,32.0,m,E03,J098,6.0,90000.0
U0115,23.0,f,E02,J099,0.5,35000.0
U0116,31.0,m,E03,J063,6.0,95000.0
U0117,40.0,f,E02,J100,15.0,65000.0
U0118,48.0,m,E04,J101,20.0,170000.0
U0119,29.0,f,E02,J102,3.0,45000.0
U0120,35.0,m,E03,J103,10.0,120000.0
U0121,42.0,f,E02,J008,17.0,100000.0
U0122,53.0,m,E03,J047,25.0,180000.0
U0123,33.0,f,E02,J104,5.0,50000.0
U0124,38.0,m,E02,J049,11.0,80000.0
U0125,44.0,f,E04,J010,16.0,140000.0
U0126,26.0,m,E02,J058,2.0,40000.0
U0127,37.0,f,E03,J105,9.0,95000.0
U0128,45.0,m,E02,J106,18.0,110000.0
U0129,32.0,f,E02,J009,4.0,50000.0
U0130,34.0,m,E03,J107,8.0,105000.0
U0131,50.0,f,E03,J056,21.0,160000.0
U0132,29.0,m,E02,J108,3.0,45000.0
U0133,40.0,f,E03,J109,12.0,100000.0
U0134,47.0,m,E04,J110,22.0,160000.0
U0135,27.0,m,E02,J111,1.0,35000.0
U0136,39.0,f,E02,J043,10.0,55000.0
U0137,46.0,m,E03,J077,19.0,140000.0
U0138,30.0,f,E02,J112,4.0,50000.0
U0139,36.0,m,E02,J113,7.0,60000.0
U0140,43.0,f,E03,J114,14.0,120000.0
U0141,28.0,m,E02,J115,2.0,40000.0
U0142,41.0,f,E03,J080,13.0,110000.0
U0143,33.0,m,E02,J083,5.0,50000.0
U0144,47.0,m,E02,J116,20.0,135000.0
U0145,25.0,f,E03,J117,1.5,40000.0
U0146,34.0,m,E02,J098,8.0,90000.0
U0147,42.0,f,E04,J057,16.0,150000.0
U0148,31.0,m,E02,J118,4.0,60000.0
U0149,38.0,f,E02,J119,10.0,80000.0
U0150,45.0,m,E03,J120,19.0,175000.0
U0151,29.0,f,E02,J121,3.0,45000.0
U0152,36.0,m,E03,J122,11.0,120000.0
U0153,43.0,f,E04,J123,18.0,140000.0
U0154,26.0,m,E02,J124,2.0,35000.0
U0155,37.0,f,E03,J093,9.0,95000.0
U0156,44.0,m,E02,J125,14.0,110000.0
U0157,32.0,f,E02,J126,5.0,50000.0
U0158,33.0,m,E03,J127,7.0,115000.0
U0159,51.0,f,E04,J128,23.0,185000.0
U0160,28.0,m,E02,J129,2.0,40000.0
U0161,39.0,f,E02,J130,12.0,90000.0
U0162,48.0,m,E03,J131,21.0,175000.0
U0163,30.0,f,E02,J132,3.0,45000.0
U0164,35.0,m,E02,J133,7.0,80000.0
U0165,41.0,f,E03,J134,13.0,120000.0
U0166,27.0,m,E02,J135,1.5,35000.0
U0167,40.0,f,E02,J136,14.0,110000.0
U0168,46.0,m,E04,J137,18.0,150000.0
U0169,31.0,f,E02,J138,4.0,50000.0
U0170,34.0,m,E03,J068,9.0,105000.0
U0171,50.0,f,E03,J139,20.0,180000.0
U0172,29.0,m,E02,J140,2.0,40000.0
U0173,43.0,m,E02,J077,16.0,140000.0
U0174,26.0,f,E03,J141,1.5,45000.0
U0175,35.0,m,E02,J142,7.0,85000.0
U0176,42.0,f,E04,J080,18.0,140000.0
U0177,31.0,m,E02,J058,4.0,50000.0
U0178,38.0,f,E02,J143,10.0,80000.0
U0179,46.0,m,E03,J056,20.0,170000.0
U0180,29.0,f,E02,J111,2.0,40000.0
U0181,37.0,m,E03,J098,9.0,105000.0
U0182,44.0,f,E04,J144,15.0,145000.0
U0183,27.0,m,E02,J145,2.0,40000.0
U0184,36.0,f,E02,J146,8.0,85000.0
U0185,43.0,m,E02,J147,14.0,130000.0
U0186,33.0,f,E03,J063,6.0,95000.0
U0187,34.0,m,E02,J148,9.0,100000.0
U0188,50.0,f,E04,J149,22.0,180000.0
U0189,28.0,m,E02,J104,1.5,35000.0
U0190,39.0,f,E02,J150,12.0,95000.0
U0191,47.0,m,E03,J151,19.0,170000.0
U0192,30.0,f,E02,J152,3.0,45000.0
U0193,34.0,m,E02,J103,7.0,95000.0
U0194,40.0,f,E03,J153,13.0,120000.0
U0195,28.0,m,E02,J115,2.0,40000.0
U0196,41.0,f,E02,J133,11.0,90000.0
U0197,45.0,m,E04,J154,17.0,155000.0
U0198,32.0,f,E02,J076,5.0,55000.0
U0199,35.0,m,E03,J107,9.0,110000.0
U0200,49.0,f,E03,J155,21.0,180000.0
U0201,30.0,m,E02,J156,3.0,45000.0
U0202,44.0,m,E02,J116,16.0,130000.0
U0203,27.0,f,E03,J157,1.5,45000.0
U0204,36.0,m,E02,J119,7.0,90000.0
U0205,41.0,f,E04,J158,17.0,160000.0
U0206,31.0,m,E02,J102,4.0,50000.0
U0207,39.0,f,E02,J127,10.0,120000.0
U0208,47.0,m,E03,J139,20.0,170000.0
U0209,30.0,f,E02,J140,2.0,40000.0
U0210,38.0,m,E03,J159,9.0,110000.0
U0211,45.0,f,E04,J123,15.0,150000.0
U0212,28.0,m,E02,J135,2.0,40000.0
U0213,35.0,f,E02,J093,8.0,85000.0
U0214,44.0,m,E02,J068,14.0,130000.0
U0215,34.0,f,E03,J160,6.0,100000.0
U0216,35.0,m,E02,J089,9.0,95000.0
U0217,50.0,f,E04,J056,22.0,180000.0
U0218,29.0,m,E02,J161,1.5,35000.0
U0219,40.0,f,E02,J130,12.0,100000.0
U0220,48.0,m,E03,J047,19.0,170000.0
U0221,31.0,f,E02,J162,3.0,45000.0
U0222,33.0,m,E02,J163,7.0,100000.0
U0223,42.0,f,E03,J134,13.0,140000.0
U0224,28.0,m,E02,J126,2.0,40000.0
U0225,40.0,f,E02,J080,11.0,105000.0
U0226,46.0,m,E04,J057,18.0,160000.0
U0227,33.0,f,E02,J164,5.0,70000.0
U0228,37.0,m,E03,J165,9.0,120000.0
U0229,51.0,f,E03,J128,21.0,190000.0
U0230,30.0,m,E02,J117,3.0,45000.0
U0231,43.0,m,E02,J077,15.0,120000.0
U0232,27.0,f,E03,J166,1.5,50000.0
U0233,35.0,m,E02,J142,8.0,85000.0
U0234,42.0,f,E04,J080,13.0,140000.0
U0235,32.0,m,E02,J111,3.0,45000.0
U0236,37.0,f,E02,J063,9.0,100000.0
U0237,45.0,m,E03,J107,16.0,140000.0
U0238,33.0,f,E02,J104,5.0,70000.0
U0239,39.0,m,E02,J146,10.0,120000.0
U0240,44.0,f,E04,J087,18.0,160000.0
U0241,29.0,m,E02,J115,1.5,40000.0
U0242,38.0,f,E02,J103,10.0,120000.0
U0243,46.0,m,E04,J154,19.0,150000.0
U0244,34.0,f,E02,J099,6.0,70000.0
U0245,36.0,m,E02,J127,8.0,95000.0
U0246,49.0,f,E03,J047,21.0,180000.0
U0247,31.0,m,E02,J126,3.0,50000.0
U0248,41.0,f,E02,J089,11.0,95000.0
U0249,47.0,m,E03,J056,20.0,170000.0
U0250,30.0,f,E02,J140,2.0,40000.0
U0251,38.0,m,E03,J159,9.0,110000.0
U0252,45.0,f,E04,J123,15.0,150000.0
U0253,28.0,m,E02,J135,2.0,40000.0
U0254,35.0,f,E02,J093,8.0,85000.0
U0255,44.0,m,E02,J068,14.0,130000.0
U0256,34.0,f,E03,J160,6.0,100000.0
U0257,35.0,m,E02,J089,9.0,95000.0
U0258,50.0,f,E04,J056,22.0,180000.0
U0259,29.0,m,E02,J161,1.5,350.0
U0260,37.0,f,E02,J167,10.0,120000.0
U0261,46.0,m,E04,J057,18.0,160000.0
U0262,31.0,f,E02,J140,3.0,50000.0
U0263,42.0,m,E02,J127,12.0,110000.0
U0264,29.0,f,E02,J111,1.5,40000.0
U0265,36.0,m,E02,J146,8.0,95000.0
U0266,44.0,f,E03,J168,15.0,140000.0
U0267,33.0,m,E02,J164,4.0,60000.0
U0268,39.0,f,E02,J133,9.0,110000.0
U0269,45.0,m,E04,J169,16.0,150000.0
U0270,32.0,f,E02,J112,4.0,60000.0
U0271,37.0,m,E02,J063,8.0,90000.0
U0272,47.0,f,E03,J047,20.0,180000.0
U0273,30.0,m,E02,J115,2.0,40000.0
U0274,38.0,f,E02,J077,9.0,120000.0
U0275,46.0,m,E04,J154,17.0,160000.0
U0276,34.0,f,E02,J126,5.0,70000.0
U0277,36.0,m,E02,J103,8.0,95000.0
U0278,49.0,f,E03,J056,21.0,180000.0
U0279,31.0,m,E02,J104,3.0,50000.0
U0280,41.0,f,E02,J089,11.0,95000.0
U0281,47.0,m,E03,J047,19.0,170000.0
U0282,29.0,f,E02,J135,1.5,35000.0
U0283,35.0,m,E02,J167,9.0,100000.0
U0284,44.0,f,E04,J123,15.0,150000.0
U0285,33.0,m,E02,J115,4.0,60000.0
U0286,35.0,f,E02,J093,8.0,85000.0
U0287,44.0,m,E02,J068,13.0,130000.0
U0288,32.0,m,E02,J145,4.0,65000.0
U0289,38.0,f,E02,J098,10.0,110000.0
U0290,49.0,m,E04,J056,21.0,180000.0
U0291,29.0,f,E02,J117,2.0,40000.0
U0292,35.0,m,E02,J122,7.0,90000.0
U0293,45.0,f,E03,J087,14.0,140000.0
U0294,33.0,m,E02,J126,4.0,60000.0
U0295,40.0,f,E02,J080,12.0,130000.0
U0296,44.0,m,E04,J057,16.0,160000.0
U0297,30.0,f,E02,J170,2.0,40000.0
U0298,37.0,m,E02,J093,9.0,100000.0
U0299,48.0,f,E03,J171,20.0,180000.0
U0300,31.0,m,E02,J118,3.0,55000.0
U0301,38.0,f,E02,J172,9.0,120000.0
U0302,45.0,m,E04,J169,16.0,150000.0
U0303,33.0,f,E02,J112,5.0,70000.0
U0304,36.0,m,E02,J098,8.0,95000.0
U0305,49.0,f,E03,J047,21.0,180000.0
U0306,31.0,m,E02,J104,3.0,50000.0
U0307,42.0,f,E02,J077,12.0,120000.0
U0308,47.0,m,E03,J047,19.0,170000.0
U0309,29.0,f,E02,J135,1.5,35000.0
U0310,35.0,m,E02,J167,9.0,100000.0
U0311,44.0,f,E04,J123,15.0,150000.0
U0312,33.0,m,E02,J115,4.0,60000.0
U0313,35.0,f,E02,J093,8.0,85000.0
U0314,44.0,m,E02,J068,13.0,130000.0
U0315,34.0,f,E03,J160,6.0,80000.0
U0316,36.0,m,E02,J146,8.0,95000.0
U0317,30.0,f,E02,J138,2.0,40000.0
U0318,37.0,m,E02,J122,10.0,120000.0
U0319,45.0,f,E03,J080,16.0,160000.0
U0320,32.0,m,E02,J173,4.0,65000.0
U0321,39.0,f,E02,J077,12.0,130000.0
U0322,47.0,m,E04,J174,20.0,180000.0
U0323,29.0,f,E02,J099,2.0,40000.0
U0324,36.0,m,E02,J127,9.0,100000.0
U0325,43.0,f,E04,J057,15.0,150000.0
U0326,32.0,m,E02,J140,3.0,55000.0
U0327,38.0,f,E02,J098,10.0,110000.0
U0328,48.0,m,E03,J047,21.0,180000.0
U0329,31.0,f,E02,J135,3.0,50000.0
U0330,40.0,m,E02,J063,12.0,130000.0
U0331,45.0,f,E04,J144,16.0,160000.0
U0332,33.0,m,E02,J145,4.0,60000.0
U0333,36.0,f,E02,J080,8.0,95000.0
U0334,47.0,m,E03,J056,19.0,170000.0
U0335,29.0,f,E02,J118,2.0,40000.0
U0336,34.0,m,E02,J172,7.0,90000.0
U0337,44.0,f,E04,J098,15.0,150000.0
U0338,33.0,m,E02,J117,5.0,70000.0
U0339,35.0,f,E02,J167,8.0,90000.0
U0340,43.0,m,E03,J047,18.0,170000.0
U0341,31.0,f,E02,J126,3.0,50000.0
U0342,41.0,m,E02,J103,14.0,150000.0
U0343,44.0,f,E04,J169,16.0,160000.0
U0344,33.0,m,E02,J115,4.0,60000.0
U0345,35.0,f,E02,J093,8.0,85000.0
U0346,45.0,m,E03,J174,19.0,180000.0
U0347,28.0,f,E02,J164,1.0,35000.0
U0348,36.0,m,E02,J122,8.0,110000.0
U0349,44.0,f,E04,J057,16.0,160000.0
U0350,31.0,m,E02,J140,3.0,55000.0
U0351,38.0,f,E02,J098,10.0,110000.0
U0352,48.0,m,E03,J047,21.0,180000.0
U0353,31.0,f,E02,J135,3.0,50000.0
U0354,40.0,m,E02,J063,12.0,130000.0
U0355,45.0,f,E04,J144,16.0,160000.0
U0356,33.0,m,E02,J145,4.0,60000.0
U0357,36.0,f,E02,J080,8.0,95000.0
U0358,47.0,m,E03,J056,19.0,170000.0
U0359,29.0,f,E02,J118,2.0,40000.0
U0360,34.0,m,E02,J172,7.0,90000.0
U0361,44.0,f,E04,J098,15.0,150000.0
U0362,33.0,m,E02,J117,5.0,70000.0
U0363,35.0,f,E02,J167,8.0,90000.0
U0364,43.0,m,E03,J047,18.0,170000.0
U0365,31.0,f,E02,J126,3.0,50000.0
U0366,41.0,m,E02,J103,14.0,150000.0
U0367,44.0,f,E04,J169,16.0,160000.0
U0368,33.0,m,E02,J115,4.0,60000.0
U0369,35.0,f,E02,J093,8.0,85000.0
U0370,43.0,m,E03,J056,19.0,170000.0
U0371,29.0,f,E02,J118,2.0,40000.0
U0372,34.0,m,E02,J172,7.0,90000.0
U0373,44.0,f,E04,J098,15.0,150000.0
U0374,31.0,m,E03,J033,6.0,160000.0
U0375,28.0,f,E02,J001,3.0,125000.0
U0376,26.0,m,E03,J007,2.0,120000.0
U0377,27.0,f,E02,J002,2.0,110000.0
U0378,30.0,m,E04,J033,5.0,180000.0
U0379,29.0,f,E02,J001,4.0,140000.0
U0380,32.0,m,E02,J007,7.0,170000.0
U0381,25.0,f,E03,J002,1.0,100000.0
U0382,33.0,m,E04,J033,8.0,190000.0
U0383,31.0,f,E02,J001,6.0,155000.0
U0384,28.0,m,E03,J007,3.0,130000.0
U0385,30.0,f,E02,J002,5.0,145000.0
U0386,27.0,m,E04,J033,2.0,115000.0
U0387,29.0,f,E02,J001,4.0,140000.0
U0388,34.0,m,E02,J007,9.0,185000.0
U0389,25.0,f,E03,J002,1.0,100000.0
U0390,33.0,m,E04,J033,8.0,190000.0
U0391,31.0,f,E02,J001,6.0,155000.0
U0392,28.0,m,E03,J007,3.0,130000.0
U0393,30.0,f,E02,J002,5.0,145000.0
U0394,28.0,m,E02,J001,3.0,125000.0
U0395,26.0,f,E03,J007,2.0,120000.0
U0396,27.0,m,E02,J002,2.0,110000.0
U0397,30.0,f,E04,J033,5.0,180000.0
U0398,29.0,m,E02,J001,4.0,140000.0
U0399,32.0,m,E02,J007,7.0,170000.0
U0400,25.0,f,E03,J002,1.0,100000.0
U0401,33.0,m,E04,J033,8.0,190000.0
U0402,31.0,f,E02,J001,6.0,155000.0
U0403,28.0,m,E03,J007,3.0,130000.0
U0404,30.0,f,E02,J002,5.0,145000.0
U0405,27.0,m,E04,J033,2.0,115000.0
U0406,29.0,f,E02,J001,4.0,140000.0
U0407,34.0,m,E02,J007,9.0,185000.0
U0408,25.0,f,E03,J002,1.0,100000.0
U0409,33.0,m,E04,J033,8.0,190000.0
U0410,31.0,f,E02,J001,6.0,155000.0
U0411,28.0,m,E03,J007,3.0,130000.0
U0412,30.0,f,E02,J002,5.0,145000.0
U0413,28.0,m,E02,J001,3.0,125000.0
U0414,26.0,f,E03,J007,2.0,120000.0
U0415,27.0,m,E02,J002,2.0,110000.0
U0416,30.0,f,E04,J033,5.0,180000.0
U0417,29.0,m,E02,J001,4.0,140000.0
U0418,32.0,m,E02,J007,7.0,170000.0
U0419,25.0,f,E03,J002,1.0,100000.0
U0420,33.0,m,E04,J033,8.0,190000.0
U0421,31.0,f,E02,J001,6.0,155000.0
U0422,28.0,m,E03,J007,3.0,130000.0
U0423,30.0,f,E02,J002,5.0,145000.0
U0424,27.0,m,E04,J033,2.0,115000.0
U0425,29.0,f,E02,J001,4.0,140000.0
U0426,34.0,m,E02,J007,9.0,185000.0
U0427,25.0,f,E03,J002,1.0,100000.0
U0428,33.0,m,E04,J033,8.0,190000.0
U0429,31.0,f,E02,J001,6.0,155000.0
U0430,28.0,m,E03,J007,3.0,130000.0
U0431,30.0,f,E02,J002,5.0,145000.0
U0432,28.0,m,E02,J001,3.0,125000.0
U0433,26.0,f,E03,J007,2.0,120000.0
U0434,27.0,m,E02,J002,2.0,110000.0
U0435,30.0,f,E04,J033,5.0,180000.0
U0436,29.0,m,E02,J001,4.0,140000.0
U0437,32.0,m,E02,J007,7.0,170000.0
U0438,25.0,f,E03,J002,1.0,100000.0
U0439,33.0,m,E04,J033,8.0,190000.0
U0440,31.0,f,E02,J001,6.0,155000.0
U0441,28.0,m,E03,J007,3.0,130000.0
U0442,30.0,f,E02,J002,5.0,145000.0
U0443,27.0,m,E04,J033,2.0,115000.0
U0444,29.0,f,E02,J001,4.0,140000.0
U0445,34.0,m,E02,J007,9.0,185000.0
U0446,25.0,f,E03,J002,1.0,100000.0
U0447,33.0,m,E04,J033,8.0,190000.0
U0448,31.0,f,E02,J001,6.0,155000.0
U0449,28.0,m,E03,J007,3.0,130000.0
U0450,30.0,f,E02,J002,5.0,145000.0
U0451,27.0,m,E04,J033,2.0,115000.0
U0452,29.0,f,E02,J001,4.0,140000.0
U0453,34.0,m,E02,J007,9.0,185000.0
U0454,25.0,f,E03,J002,1.0,100000.0
U0455,33.0,m,E04,J033,8.0,190000.0
U0456,31.0,f,E02,J001,6.0,155000.0
U0457,28.0,m,E03,J007,3.0,130000.0
U0458,30.0,f,E02,J002,5.0,145000.0
U0459,28.0,m,E02,J001,3.0,125000.0
U0460,26.0,f,E03,J007,2.0,120000.0
U0461,27.0,m,E02,J002,2.0,110000.0
U0462,30.0,f,E04,J033,5.0,180000.0
U0463,29.0,m,E02,J001,4.0,140000.0
U0464,32.0,m,E02,J007,7.0,170000.0
U0465,25.0,f,E03,J002,1.0,100000.0
U0466,33.0,m,E04,J033,8.0,190000.0
U0467,31.0,f,E02,J001,6.0,155000.0
U0468,28.0,m,E03,J007,3.0,130000.0
U0469,30.0,f,E02,J002,5.0,145000.0
U0470,27.0,m,E04,J033,2.0,115000.0
U0471,29.0,f,E02,J001,4.0,140000.0
U0472,34.0,m,E02,J007,9.0,185000.0
U0473,25.0,f,E03,J002,1.0,100000.0
U0474,33.0,m,E04,J033,8.0,190000.0
U0475,31.0,f,E02,J001,6.0,155000.0
U0476,28.0,m,E03,J007,3.0,130000.0
U0477,30.0,f,E02,J002,5.0,145000.0
U0478,27.0,m,E04,J033,2.0,115000.0
U0479,29.0,f,E02,J001,4.0,140000.0
U0480,34.0,m,E02,J007,9.0,185000.0
U0481,25.0,f,E03,J002,1.0,100000.0
U0482,33.0,m,E04,J033,8.0,190000.0
U0483,31.0,f,E02,J001,6.0,155000.0
U0484,28.0,m,E03,J007,3.0,130000.0
U0485,30.0,f,E02,J002,5.0,145000.0
U0486,27.0,m,E04,J033,2.0,115000.0
U0487,29.0,f,E02,J001,4.0,140000.0
U0488,34.0,m,E02,J007,9.0,185000.0
U0489,25.0,f,E03,J002,1.0,100000.0
U0490,33.0,m,E04,J033,8.0,190000.0
U0491,31.0,f,E02,J001,6.0,155000.0
U0492,28.0,m,E03,J007,3.0,130000.0
U0493,30.0,f,E02,J002,5.0,145000.0
U0494,27.0,m,E04,J033,2.0,115000.0
U0495,29.0,f,E02,J001,4.0,140000.0
U0496,34.0,m,E02,J007,9.0,185000.0
U0497,25.0,f,E03,J002,1.0,100000.0
U0498,33.0,m,E04,J033,8.0,190000.0
U0499,31.0,f,E02,J001,6.0,155000.0
U0500,28.0,m,E03,J007,3.0,130000.0
U0501,30.0,f,E02,J002,5.0,145000.0
U0502,27.0,m,E04,J033,2.0,115000.0
U0503,29.0,f,E02,J001,4.0,140000.0
U0504,34.0,m,E02,J007,9.0,185000.0
U0505,26.0,m,E02,J002,3.0,130000.0
U0506,29.0,f,E03,J033,6.0,180000.0
U0507,32.0,m,E02,J001,8.0,190000.0
U0508,27.0,f,E02,J007,4.0,150000.0
U0509,24.0,m,E02,J002,1.0,90000.0
U0510,31.0,f,E03,J033,9.0,195000.0
U0511,28.0,m,E02,J001,5.0,160000.0
U0512,33.0,f,E03,J007,11.0,198000.0
U0513,25.0,m,E02,J002,2.0,110000.0
U0514,30.0,f,E04,J033,7.0,185000.0
U0515,27.0,m,E02,J001,4.0,140000.0
U0516,34.0,f,E03,J007,12.0,196000.0
U0517,23.0,m,E02,J002,1.0,95000.0
U0518,32.0,f,E04,J033,10.0,193000.0
U0519,29.0,m,E02,J001,6.0,175000.0
U0520,30.0,f,E02,J007,5.0,160000.0
U0521,26.0,m,E02,J002,3.0,130000.0
U0522,31.0,f,E03,J033,6.0,180000.0
U0523,28.0,m,E02,J001,5.0,160000.0
U0524,33.0,f,E03,J007,11.0,198000.0
U0525,24.0,m,E02,J002,1.0,90000.0
U0526,30.0,f,E04,J033,7.0,185000.0
U0527,27.0,m,E02,J001,4.0,140000.0
U0528,34.0,f,E03,J007,12.0,196000.0
U0529,25.0,m,E02,J002,2.0,110000.0
U0530,29.0,f,E03,J033,6.0,180000.0
U0531,32.0,m,E02,J001,8.0,190000.0
U0532,27.0,f,E02,J007,4.0,150000.0
U0533,31.0,m,E02,J002,9.0,195000.0
U0534,28.0,f,E02,J001,5.0,160000.0
U0535,33.0,m,E03,J007,11.0,198000.0
U0536,26.0,f,E02,J002,3.0,130000.0
U0537,30.0,m,E04,J033,7.0,185000.0
U0538,27.0,f,E02,J001,4.0,140000.0
U0539,34.0,m,E03,J007,12.0,196000.0
U0540,25.0,f,E02,J002,2.0,110000.0
U0541,32.0,m,E02,J001,8.0,190000.0
U0542,29.0,f,E03,J033,6.0,180000.0
U0543,30.0,m,E02,J002,5.0,160000.0
U0544,33.0,f,E03,J007,11.0,198000.0
U0545,24.0,m,E02,J002,1.0,90000.0
U0546,31.0,f,E04,J033,9.0,195000.0
U0547,28.0,m,E02,J001,5.0,160000.0
U0548,27.0,f,E02,J007,4.0,150000.0
U0549,26.0,m,E02,J002,3.0,130000.0
U0550,29.0,f,E03,J033,6.0,180000.0
U0551,32.0,m,E02,J001,8.0,190000.0
U0552,33.0,f,E03,J007,11.0,198000.0
U0553,25.0,m,E02,J002,2.0,110000.0
U0554,30.0,f,E04,J033,7.0,185000.0
U0555,27.0,m,E02,J001,4.0,140000.0
U0556,34.0,f,E03,J007,12.0,196000.0
U0557,31.0,m,E02,J002,9.0,195000.0
